league,season,team_id,team,player_id,player_name,position,age,value_m
Eredivisie,2021,234,Feyenoord Rotterdam,514287,Thijs Jansen,Goalkeeper,20,0.05
Eredivisie,2021,234,Feyenoord Rotterdam,469781,Marcos Senesi,Centre-Back,25,17.0
Eredivisie,2021,234,Feyenoord Rotterdam,420210,Lutsharel Geertruida,Centre-Back,21,12.0
Eredivisie,2021,234,Feyenoord Rotterdam,59145,Gernot Trauner,Centre-Back,30,5.0
Eredivisie,2021,234,Feyenoord Rotterdam,340460,Philippe Sandler,Centre-Back,25,2.0
Eredivisie,2021,234,Feyenoord Rotterdam,436064,Ramon Hendriks,Centre-Back,20,0.8
Eredivisie,2021,234,Feyenoord Rotterdam,339340,Tyrell Malacia,Left-Back,22,17.0
Eredivisie,2021,234,Feyenoord Rotterdam,583404,Marcus Pedersen,Right-Back,21,4.5
Eredivisie,2021,234,Feyenoord Rotterdam,412949,Denzel Hall,Right-Back,21,0.1
Eredivisie,2021,234,Feyenoord Rotterdam,591880,Mimeirhel Benita,Right-Back,18,0.1
Eredivisie,2021,234,Feyenoord Rotterdam,412953,Wouter Burger,Defensive Midfield,21,1.3
Eredivisie,2021,234,Feyenoord Rotterdam,63342,Leroy Fer,Defensive Midfield,32,0.8
Eredivisie,2021,234,Feyenoord Rotterdam,454567,Orkun Kökçü,Central Midfield,21,22.0
Eredivisie,2021,234,Feyenoord Rotterdam,223367,Fredrik Aursnes,Central Midfield,26,12.0
Eredivisie,2021,234,Feyenoord Rotterdam,205004,Jorrit Hendrix,Central Midfield,27,1.8
Eredivisie,2021,234,Feyenoord Rotterdam,187507,Mark Diemers,Central Midfield,28,1.5
Eredivisie,2021,234,Feyenoord Rotterdam,595238,Lennard Hartjes,Central Midfield,19,0.1
Eredivisie,2021,234,Feyenoord Rotterdam,228444,Ridgeciano Haps,Left Midfield,29,1.8
Eredivisie,2021,234,Feyenoord Rotterdam,372267,Guus Til,Attacking Midfield,24,7.5
Eredivisie,2021,234,Feyenoord Rotterdam,605144,Cole Bassett,Attacking Midfield,20,4.0
Eredivisie,2021,234,Feyenoord Rotterdam,132214,João Carlos Teixeira,Attacking Midfield,29,2.0
Eredivisie,2021,234,Feyenoord Rotterdam,134999,Jens Toornstra,Attacking Midfield,33,1.2
Eredivisie,2021,234,Feyenoord Rotterdam,338627,Francesco Antonucci,Attacking Midfield,23,1.0
Eredivisie,2021,234,Feyenoord Rotterdam,683620,Antoni Milambo,Attacking Midfield,17,1.0
Eredivisie,2021,234,Feyenoord Rotterdam,512385,Luis Sinisterra,Left Winger,23,25.0
Eredivisie,2021,234,Feyenoord Rotterdam,340325,Reiss Nelson,Left Winger,22,6.5
Eredivisie,2021,234,Feyenoord Rotterdam,213268,Alireza Jahanbakhsh,Right Winger,28,3.5
Eredivisie,2021,234,Feyenoord Rotterdam,721470,Patrik Wålemark,Right Winger,20,3.5
Eredivisie,2021,234,Feyenoord Rotterdam,530298,Christian Conteh,Right Winger,22,0.45
Eredivisie,2021,234,Feyenoord Rotterdam,317806,Cyriel Dessers,Centre-Forward,27,6.0
Eredivisie,2021,234,Feyenoord Rotterdam,82410,Bryan Linssen,Centre-Forward,31,2.2
Eredivisie,2021,234,Feyenoord Rotterdam,454576,Róbert Boženík,Centre-Forward,22,1.2
Eredivisie,2021,234,Feyenoord Rotterdam,666977,Aliou Baldé,Centre-Forward,19,0.4
Eredivisie,2021,234,Feyenoord Rotterdam,430800,Naoufal Bannis,Centre-Forward,20,0.4
Eredivisie,2021,234,Feyenoord Rotterdam,435088,Delano Ladan,Centre-Forward,22,0.175
Eredivisie,2021,1090,AZ Alkmaar,395421,Peter Vindahl,Goalkeeper,24,0.9
Eredivisie,2021,1090,AZ Alkmaar,116471,Hobie Verhulst,Goalkeeper,29,0.425
Eredivisie,2021,1090,AZ Alkmaar,595935,Sem Westerveld,Goalkeeper,19,0.25
Eredivisie,2021,1090,AZ Alkmaar,515386,Beau Reus,Goalkeeper,20,0.15
Eredivisie,2021,1090,AZ Alkmaar,436061,Mees Bakker,Goalkeeper,21,0.1
Eredivisie,2021,1090,AZ Alkmaar,144244,Pantelis Hatzidiakos,Centre-Back,25,2.5
Eredivisie,2021,1090,AZ Alkmaar,112052,Bruno Martins Indi,Centre-Back,30,2.2
Eredivisie,2021,1090,AZ Alkmaar,433984,Sam Beukema,Centre-Back,23,1.0
Eredivisie,2021,1090,AZ Alkmaar,231378,Timo Letschert,Centre-Back,29,0.7
Eredivisie,2021,1090,AZ Alkmaar,646704,Maxim Dekker,Centre-Back,18,0.4
Eredivisie,2021,1090,AZ Alkmaar,501640,Maxim Gullit,Centre-Back,21,0.35
Eredivisie,2021,1090,AZ Alkmaar,595937,Jorn Berkhout,Centre-Back,20,0.25
Eredivisie,2021,1090,AZ Alkmaar,339328,Owen Wijndal,Left-Back,22,12.0
Eredivisie,2021,1090,AZ Alkmaar,730861,Milos Kerkez,Left-Back,18,0.7
Eredivisie,2021,1090,AZ Alkmaar,405385,Yukinari Sugawara,Right-Back,22,3.0
Eredivisie,2021,1090,AZ Alkmaar,313944,Aslak Witry,Right-Back,26,1.2
Eredivisie,2021,1090,AZ Alkmaar,360518,Teun Koopmeiners,Defensive Midfield,24,25.0
Eredivisie,2021,1090,AZ Alkmaar,104223,Jordy Clasie,Defensive Midfield,31,2.5
Eredivisie,2021,1090,AZ Alkmaar,361074,Peer Koopmeiners,Defensive Midfield,22,0.6
Eredivisie,2021,1090,AZ Alkmaar,136180,Fredrik Midtsjø,Central Midfield,28,6.0
Eredivisie,2021,1090,AZ Alkmaar,340459,Dani de Wit,Central Midfield,24,3.5
Eredivisie,2021,1090,AZ Alkmaar,394688,Håkon Evjen,Central Midfield,22,1.8
Eredivisie,2021,1090,AZ Alkmaar,460939,Tijjani Reijnders,Central Midfield,23,1.5
Eredivisie,2021,1090,AZ Alkmaar,595940,Zico Buurmeester,Central Midfield,20,0.55
Eredivisie,2021,1090,AZ Alkmaar,559335,Fedde de Jong,Attacking Midfield,19,0.65
Eredivisie,2021,1090,AZ Alkmaar,441216,Thijs Oosting,Attacking Midfield,22,0.6
Eredivisie,2021,1090,AZ Alkmaar,276135,Jeremy Helmer,Attacking Midfield,24,0.3
Eredivisie,2021,1090,AZ Alkmaar,367992,Jesper Karlsson,Left Winger,23,14.0
Eredivisie,2021,1090,AZ Alkmaar,564489,Kamal Sowah,Left Winger,22,3.5
Eredivisie,2021,1090,AZ Alkmaar,485591,Mohamed Taabouni,Left Winger,20,0.85
Eredivisie,2021,1090,AZ Alkmaar,650712,Myron van Brederode,Left Winger,18,0.2
Eredivisie,2021,1090,AZ Alkmaar,393238,Zakaria Aboukhlal,Right Winger,22,2.0
Eredivisie,2021,1090,AZ Alkmaar,718303,Ernest Poku,Right Winger,18,0.3
Eredivisie,2021,1090,AZ Alkmaar,305947,Albert Gudmundsson,Second Striker,25,2.4
Eredivisie,2021,1090,AZ Alkmaar,324503,Vangelis Pavlidis,Centre-Forward,23,6.0
Eredivisie,2021,1090,AZ Alkmaar,566271,Yusuf Barası,Centre-Forward,19,0.5
Eredivisie,2021,1090,AZ Alkmaar,339327,Jelle Duin,Centre-Forward,23,0.2
Eredivisie,2021,1090,AZ Alkmaar,678546,Mexx Meerdink,Centre-Forward,18,0.15
Eredivisie,2021,499,Vitesse Arnhem,296741,Markus Schubert,Goalkeeper,24,0.6
Eredivisie,2021,499,Vitesse Arnhem,257980,Jeroen Houwen,Goalkeeper,26,0.5
Eredivisie,2021,499,Vitesse Arnhem,412946,Daan Reiziger,Goalkeeper,21,0.15
Eredivisie,2021,499,Vitesse Arnhem,187203,Eric Verstappen,Goalkeeper,28,0.125
