league,season,club,games,pts,gf,ga,xg,xga,xpts,est_share,season_len,partial,is_reserve,team_id,squad_value_m,pts_pg,xpts_pg,value_rank,xg_source,predicted_xpts_pg,predicted_xpts,club_skill,pts_vs_budget,luck,growth_m,growth_pct,n_matched,n_squad
Eerste Divisie,23/24,Helmond Sport,38,51,52.0,55.0,43.29440117441748,52.89724271005377,46.33778267357835,1.0,38,False,False,500,7.03,1.3421052631578947,1.2194153335152198,17.0,estimated,1.3119721746249253,49.854942635747165,-3.51715996216881,1.1450573642528359,4.662217326421645,-0.6000000000000001,-0.11538461538461539,18.0,27.0
Eerste Divisie,23/24,Jong AZ,38,56,62.0,61.0,48.31214443827185,52.61452857923357,49.3684615115113,1.0,38,False,True,11368,37.98,1.4736842105263157,1.299170039776613,3.0,estimated,2.2509009665117907,85.53423672744805,-36.165775215936755,-29.53423672744805,6.631538488488701,12.725,0.8209677419354838,30.0,41.0
Eerste Divisie,23/24,Jong Ajax,38,40,54.0,69.0,45.09774788398512,57.95603745809492,44.853083728961344,1.0,38,False,True,8817,87.65,1.0526315789473684,1.1803443086568775,1.0,estimated,2.716388616829014,103.22276743950253,-58.36968371054118,-63.22276743950253,-4.853083728961345,16.8,0.6808510638297872,20.0,40.0
Eerste Divisie,23/24,Jong PSV,38,40,63.0,81.0,48.80965248663773,60.48078889980591,45.02230734387808,1.0,38,False,True,9715,70.1,1.0526315789473684,1.1847975616810023,2.0,estimated,2.592026113202604,98.49699230169895,-53.47468495782086,-58.49699230169895,-5.022307343878088,8.850000000000001,0.41162790697674423,21.0,38.0
Eerste Divisie,23/24,Jong Utrecht,38,26,32.0,74.0,41.1405378488082,60.809424213386855,40.483842582422966,1.0,38,False,True,17596,10.05,0.6842105263157895,1.065364278484815,10.0,estimated,1.5108964198659427,57.41406395490582,-16.930221372482855,-31.41406395490582,-14.483842582422968,1.7,0.5190839694656488,16.0,36.0
Eerste Divisie,23/24,MVV,38,56,64.0,60.0,44.325593115902706,59.347293371465476,43.67236061873149,1.0,38,False,False,384,6.85,1.4736842105263157,1.1492726478613549,18.0,estimated,1.2975348190632066,49.30632312440185,-5.633962505670365,6.693676875598148,12.327639381268511,1.925,0.6363636363636364,15.0,28.0
Eerste Divisie,23/24,NAC Breda,38,56,63.0,56.0,49.13542107327399,37.273066958957145,59.46464138797965,1.0,38,False,False,132,12.38,1.4736842105263157,1.5648589838942013,5.0,estimated,1.6269547702141298,61.824281268136936,-2.3596398801572835,-5.824281268136936,-3.4646413879796527,1.8250000000000002,0.2991803278688525,23.0,34.0
Eerste Divisie,23/24,Roda JC,38,75,69.0,34.0,52.171972697442676,40.03267881238898,60.37690095933024,1.0,38,False,False,192,10.53,1.9736842105263157,1.588865814719217,7.0,estimated,1.5368654004580369,58.4008852174054,1.9760157419248428,16.599114782594597,14.623099040669754,1.35,0.28272251308900526,17.0,30.0
Eerste Divisie,23/24,TOP Oss,38,34,32.0,66.0,35.75006398957715,55.497937476675524,39.93233800215216,1.0,38,False,False,1228,5.63,0.8947368421052632,1.0508510000566358,19.0,estimated,1.1883619580061733,45.15775440423459,-5.225416402082425,-11.157754404234584,-5.93233800215216,-0.17499999999999993,-0.04605263157894735,17.0,31.0
Eerste Divisie,23/24,Telstar,38,35,47.0,68.0,44.26066822560217,52.542874254426906,47.8277146483524,1.0,38,False,False,1434,5.33,0.9210526315789473,1.258624069693484,20.0,estimated,1.1578830456538973,43.9995557348481,3.828158913504296,-8.9995557348481,-12.827714648352394,-0.15000000000000002,-0.035502958579881665,20.0,28.0
Eerste Divisie,23/24,VVV-Venlo,38,48,53.0,58.0,48.481053345095546,47.07893738450801,53.249620026022434,1.0,38,False,False,1426,7.6,1.263157894736842,1.401305790158485,15.0,estimated,1.3553662748119693,51.50391844285483,1.7457015831676026,-3.5039184428548342,-5.249620026022437,1.25,0.2793296089385475,20.0,28.0
Eerste Divisie,23/24,Willem II,38,79,77.0,35.0,55.15122045414434,33.192196724174366,65.27257406790036,1.0,38,False,False,403,10.28,2.0789473684210527,1.7176993175763253,8.0,estimated,1.5234911612010047,57.89266412563818,7.379909942262184,21.107335874361823,13.727425932099639,0.7749999999999999,0.10437710437710437,20.0,26.0
Eerste Divisie,24/25,ADO Den Haag,38,70,69.0,47.0,61.955769493577364,45.29278727672411,62.7019812245632,1.0,38,False,False,1268,8.93,1.8421052631578947,1.6500521374885053,11.0,estimated,1.4451295865915847,54.91492429048022,7.787056934082981,15.085075709519778,7.2980187754367964,-0.4250000000000001,-0.07623318385650225,17.0,30.0
Eerste Divisie,24/25,Cambuur,38,71,63.0,42.0,61.334141726326365,45.52411986848672,62.624775614697505,1.0,38,False,False,133,10.95,1.868421052631579,1.6480204109130923,7.0,estimated,1.5586350097642963,59.22813037104326,3.3966452436542482,11.771869628956743,8.375224385302495,0.6,0.08,23.0,32.0
Eerste Divisie,24/25,De Graafschap,38,65,73.0,50.0,62.208844346945355,45.83293819907142,62.396125427404904,1.0,38,False,False,642,9.6,1.7105263157894737,1.6420033007211816,9.0,estimated,1.4853984171508954,56.44513985173403,5.950985575670877,8.554860148265975,2.6038745725950982,0.7,0.10294117647058823,25.0,32.0
Eerste Divisie,24/25,Den Bosch,38,55,53.0,48.0,49.31344979019933,46.21741154427809,53.478603070619016,1.0,38,False,False,404,8.73,1.4473684210526316,1.407331659753132,12.0,estimated,1.4325218208745332,54.43582919323226,-0.9572261226132439,0.5641708067677418,1.5213969293809857,1.15,0.25414364640883974,21.0,33.0
Eerste Divisie,24/25,Dordrecht,38,68,69.0,46.0,57.85921374227947,52.794962173810674,55.57336292283997,1.0,38,False,False,1455,12.48,1.7894736842105263,1.4624569190221044,6.0,estimated,1.6314327433478135,61.99444424721691,-6.421081324376947,6.005555752783087,12.426637077160034,1.9,0.3689320388349514,17.0,37.0
Eerste Divisie,24/25,Eindhoven,38,51,58.0,64.0,49.613305326691425,51.71019791862328,51.47131761070265,1.0,38,False,False,3892,6.68,1.3421052631578947,1.3545083581763855,18.0,estimated,1.2835468634339238,48.774780810489105,2.6965368002135452,2.225219189510895,-0.4713176107026502,-0.4,-0.07804878048780488,17.0,25.0
Eerste Divisie,24/25,Emmen,38,56,56.0,53.0,55.406584543144625,48.000324146817924,56.97462849955611,1.0,38,False,False,1283,6.85,1.4736842105263157,1.4993323289356872,16.0,estimated,1.2975348190632066,49.30632312440185,7.668305375154266,6.693676875598148,-0.9746284995561183,-0.32499999999999996,-0.1382978723404255,11.0,27.0
Eerste Divisie,24/25,Excelsior,38,74,74.0,38.0,66.99539391664771,37.513154044217345,71.08674093169212,1.0,38,False,False,798,14.78,1.9473684210526316,1.87070370872874,5.0,estimated,1.7255818033153905,65.57210852598483,5.51463240570728,8.427891474015166,2.913259068307885,-0.2000000000000002,-0.01932367149758456,21.0,30.0
Eerste Divisie,24/25,Helmond Sport,38,46,53.0,61.0,48.45074970597502,53.334007113351625,48.544589548813576,1.0,38,False,False,500,6.83,1.2105263157894737,1.2774891986529888,17.0,estimated,1.2959073060370536,49.24447762940804,-0.6998880805944623,-3.244477629408038,-2.5445895488135757,-0.07499999999999993,-0.019480519480519463,15.0,26.0
Eerste Divisie,24/25,Jong AZ,38,52,69.0,63.0,51.65771288568256,57.432094226854,49.20623462639927,1.0,38,False,True,11368,51.78,1.368421052631579,1.2949009112210335,3.0,estimated,2.42341875419529,92.08991265942102,-42.88367803302175,-40.089912659421024,2.79376537360073,28.95,1.47141041931385,28.0,47.0
Eerste Divisie,24/25,Jong Ajax,38,36,37.0,52.0,41.76007927661481,62.131411001790994,40.00864503978153,1.0,38,False,True,8817,52.73,0.9473684210526315,1.0528590799942508,2.0,estimated,2.4335382292751113,92.47445271245422,-52.4658076726727,-56.47445271245424,-4.008645039781531,-22.975,-0.3705645161290323,24.0,37.0
Eerste Divisie,24/25,Jong PSV,38,30,55.0,86.0,49.862712398293034,71.43764708478422,41.106670292583445,1.0,38,False,True,9715,87.8,0.7894736842105263,1.081754481383775,1.0,estimated,2.7173403566876475,103.2589335541306,-62.152263261547155,-73.2589335541306,-11.106670292583448,-9.899999999999999,-0.12018209408194232,26.0,41.0
Eerste Divisie,24/25,Jong Utrecht,38,23,31.0,82.0,38.85894138257727,63.59689771784461,37.72376161571134,1.0,38,False,True,17596,30.15,0.6052631578947368,0.9927305688345089,4.0,estimated,2.122393971382455,80.6509709125333,-42.92720929682196,-57.650970912533296,-14.72376161571134,5.375,0.3739130434782609,28.0,40.0
Eerste Divisie,24/25,MVV,38,40,52.0,59.0,51.975538491422284,61.865646127682545,45.65632662153589,1.0,38,False,False,384,6.13,1.0526315789473684,1.2014822795141022,19.0,estimated,1.2357212110604776,46.95740602029815,-1.3010793987622638,-6.957406020298151,-5.656326621535888,0.09999999999999995,0.024539877300613484,16.0,28.0
