league,season,club,manager,manager_id,games,share,growth_m,attributed_m
Eredivisie,23/24,Vitesse,Phillip Cocu,6405,11,0.3333333333333333,-7.175000000000001,-2.3916666666666666
Eredivisie,23/24,Volendam,Matthias Kohler,39536,14,0.4375,0.27500000000000024,0.1203125000000001
Eredivisie,23/24,Volendam,Regillio Simons,50182,18,0.5625,0.27500000000000024,0.15468750000000014
Eredivisie,24/25,AZ,Maarten Martens,49088,34,1.0,58.325,58.325
Eredivisie,24/25,Ajax,Francesco Farioli,73923,34,1.0,1.4249999999999985,1.4249999999999985
Eredivisie,24/25,Almere City,Hedwiges Maduro,62754,16,0.48484848484848486,-0.8500000000000003,-0.4121212121212123
Eredivisie,24/25,Almere City,Jeroen Rijsdijk,35419,17,0.5151515151515151,-0.8500000000000003,-0.43787878787878803
Eredivisie,24/25,Feyenoord,Brian Priske,19874,21,0.65625,-10.0,-6.5625
Eredivisie,24/25,Feyenoord,Robin van Persie,77452,11,0.34375,-10.0,-3.4375
Eredivisie,24/25,Fortuna Sittard,Danny Buijs,37630,34,1.0,-0.12500000000000006,-0.12500000000000006
Eredivisie,24/25,Go Ahead Eagles,Paul Simonis,61348,34,1.0,14.375,14.375
Eredivisie,24/25,Groningen,Dick Lukkien,2208,34,1.0,13.675,13.675
Eredivisie,24/25,Heerenveen,Robin Veldman,77172,8,0.25806451612903225,5.35,1.3806451612903226
Eredivisie,24/25,Heerenveen,Robin van Persie,77452,23,0.7419354838709677,5.35,3.9693548387096773
Eredivisie,24/25,Heracles,Erwin van de Looi,12458,34,1.0,2.575,2.575
Eredivisie,24/25,NAC Breda,Carl Hoefkens,58865,34,1.0,-0.1,-0.1
Eredivisie,24/25,NEC,Rogier Meijer,49162,34,1.0,2.15,2.15
Eredivisie,24/25,PEC Zwolle,Johnny Jansen,33770,34,1.0,4.925,4.925
Eredivisie,24/25,PSV,Peter Bosz,1269,34,1.0,-16.125,-16.125
Eredivisie,24/25,RKC Waalwijk,Henk Fraser,17353,34,1.0,-1.65,-1.65
Eredivisie,24/25,Sparta Rotterdam,Jeroen Rijsdijk,35419,10,0.30303030303030304,-6.700000000000001,-2.0303030303030307
Eredivisie,24/25,Sparta Rotterdam,Maurice Steijn,13405,23,0.696969696969697,-6.700000000000001,-4.669696969696971
Eredivisie,24/25,Twente,Joseph Oosting,10694,34,1.0,10.9,10.9
Eredivisie,24/25,Utrecht,Ron Jans,512,34,1.0,21.45,21.45
Eredivisie,24/25,Willem II,Peter Maes,3249,30,1.0,2.5,2.5
Eredivisie,25/26,AZ,Lee-Roy Echteld,39640,16,0.47058823529411764,81.625,38.411764705882355
Eredivisie,25/26,AZ,Maarten Martens,49088,18,0.5294117647058824,81.625,43.213235294117645
Eredivisie,25/26,Ajax,John Heitinga,51774,11,0.5789473684210527,32.575,18.859210526315792
Eredivisie,25/26,Ajax,Óscar García,16362,8,0.42105263157894735,32.575,13.715789473684211
Eredivisie,25/26,Excelsior,Ruben den Uil,69015,34,1.0,4.45,4.45
Eredivisie,25/26,Feyenoord,Robin van Persie,77452,34,1.0,23.75,23.75
Eredivisie,25/26,Fortuna Sittard,Danny Buijs,37630,34,1.0,0.875,0.875
Eredivisie,25/26,Go Ahead Eagles,Melvin Boel,55702,34,1.0,0.5749999999999996,0.5749999999999996
Eredivisie,25/26,Groningen,Dick Lukkien,2208,34,1.0,17.475,17.475
Eredivisie,25/26,Heerenveen,Robin Veldman,77172,34,1.0,12.175,12.175
Eredivisie,25/26,Heracles,Bas Sibum,55941,10,0.3333333333333333,-4.7250000000000005,-1.5750000000000002
Eredivisie,25/26,Heracles,Ernest Faber,2289,20,0.6666666666666666,-4.7250000000000005,-3.1500000000000004
Eredivisie,25/26,NAC Breda,Carl Hoefkens,58865,34,1.0,-3.475,-3.475
Eredivisie,25/26,NEC,Dick Schreuder,33196,34,1.0,25.099999999999998,25.099999999999998
Eredivisie,25/26,PEC Zwolle,Henry van der Vegt,10667,34,1.0,-4.3,-4.3
Eredivisie,25/26,PSV,Peter Bosz,1269,34,1.0,42.325,42.325
Eredivisie,25/26,Sparta Rotterdam,Maurice Steijn,13405,34,1.0,6.85,6.85
Eredivisie,25/26,Telstar,Anthony Correia,56262,34,1.0,3.75,3.75
Eredivisie,25/26,Twente,John van den Brom,1886,29,1.0,10.3,10.3
Eredivisie,25/26,Utrecht,Ron Jans,512,34,1.0,10.125,10.125
Eredivisie,25/26,Volendam,Rick Kruys,58257,34,1.0,2.825,2.825
